1
Pacific Koel Eudynamys orientalis
15.01%
60
Pied Currawong Strepera graculina
14.38%
61
Pacific Black Duck Anas superciliosa
13.81%
62
Spotted Pardalote Pardalotus punctatus
13.81%
63
Satin Bowerbird Ptilonorhynchus violaceus
13.78%
64
Sahul Cicadabird Edolisoma tenuirostre
13.78%
65
Rainbow Bee-eater Merops ornatus
13.22%
66
Turquoise Parrot Neophema pulchella
13.20%
67
Large-billed Scrubwren Sericornis magnirostra
12.59%
68
Black Swan Cygnus atratus
11.41%
69
Azure Kingfisher Ceyx azureus
10.78%
70
White-throated Needletail Hirundapus caudacutus
10.23%
71
Pheasant Coucal Centropus phasianinus
10.20%
72
White-throated Gerygone Gerygone olivacea
10.19%
73
Yellow-tailed Black-Cockatoo Zanda funerea
9.62%
74
Great Cormorant Phalacrocorax carbo
9.61%
75
Pacific Emerald Dove Chalcophaps longirostris
9.59%
76
Little Pied Cormorant Microcarbo melanoleucos
9.59%
77
Noisy Miner Manorina melanocephala
9.59%
78
Glossy Black-Cockatoo Calyptorhynchus lathami
8.41%
79
Crested Tern Thalasseus bergii
7.80%
80
Red Wattlebird Anthochaera carunculata
7.80%
81
Grey Butcherbird Cracticus torquatus
7.20%
82
Australian Owlet-nightjar Aegotheles cristatus
6.66%
83
Torresian Crow Corvus orru
5.41%
84
Channel-billed Cuckoo Scythrops novaehollandiae
5.40%
85
Australian King-Parrot Alisterus scapularis
4.82%
86
Sahul Brush Cuckoo Cacomantis variolosus
4.81%
87
Silver Gull Chroicocephalus novaehollandiae
4.81%
88
Brown Honeyeater Lichmera indistincta
4.80%
89
Little Black Cormorant Phalacrocorax sulcirostris
4.80%
90
White-bellied Cuckooshrike Coracina papuensis
4.80%
91
Osprey Pandion haliaetus
4.22%
92
Pied Cormorant Phalacrocorax varius
4.22%
93
Fan-tailed Cuckoo Cacomantis flabelliformis
4.21%
94
Australian Raven Corvus coronoides
4.20%
95
Crimson Rosella Platycercus elegans
4.20%
96
Regent Bowerbird Sericulus chrysocephalus
4.20%
97
Lewin's Rail Lewinia pectoralis
4.19%
98
Caspian Tern Hydroprogne caspia
3.61%
99
Australian Wood Duck Chenonetta jubata
3.60%
100
White-headed Pigeon Columba leucomela
3.60%
101
Great Egret Ardea alba
3.60%
102
Brown-headed Honeyeater Melithreptus brevirostris
3.60%
103
Brush Bronzewing Phaps elegans
3.01%
104
Magpie-lark Grallina cyanoleuca
3.00%
105
Tawny Grassbird Cincloramphus timoriensis
3.00%
106
Tree Martin Petrochelidon nigricans
2.99%
107
Australian Masked-Owl Tyto novaehollandiae
2.43%
108
Chestnut Teal Anas castanea
2.42%
109
Spangled Drongo Dicrurus bracteatus
2.41%
110
Australasian Darter Anhinga novaehollandiae
2.41%
111
Wedge-tailed Eagle Aquila audax
2.41%
112
New Holland Honeyeater Phylidonyris novaehollandiae
2.41%
113
Musk Lorikeet Trichoglossus concinnus
2.40%
114
Red-capped Plover Anarhynchus ruficapillus
1.80%
115
Grey Goshawk Tachyspiza novaehollandiae
1.80%
116
Brown Goshawk Tachyspiza fasciata
1.80%
117
Peregrine Falcon Falco peregrinus
1.80%
118
Green Catbird Ailuroedus crassirostris
1.80%
119
Black-shouldered Kite Elanus axillaris
1.22%
120
Topknot Pigeon Lopholaimus antarcticus
1.20%
121
Shining Bronze-Cuckoo Chalcites lucidus
1.20%
122
Swamp Harrier Circus approximans
1.20%
123
Red-browed Treecreeper Climacteris erythrops
1.20%
124
Blue-faced Honeyeater Entomyzon cyanotis
1.20%
125
Peaceful Dove Geopelia placida
1.20%
126
Eurasian Coot Fulica atra
1.20%
127
Australasian Grebe Tachybaptus novaehollandiae
1.20%
128
Nankeen Night Heron Nycticorax caledonicus
1.20%
129
White-throated Nightjar Eurostopodus mystacalis
0.63%
130
Tawny Frogmouth Podargus strigoides
0.62%
131
Australian Brushturkey Alectura lathami
0.61%
132
Spotted Dove Spilopelia chinensis
Exotic: Naturalized
0.60%
133
Grey Teal Anas gracilis
0.60%
134
Crested Pigeon Ocyphaps lophotes
0.60%
135
Rose-crowned Fruit-Dove Ptilinopus regina
0.60%
136
Australian Pied Oystercatcher Haematopus longirostris
0.60%
137
Red-necked Stint Calidris ruficollis
0.60%
138
Collared Sparrowhawk Tachyspiza cirrocephala
0.60%
139
Australian Boobook Ninox boobook
0.60%
140
Australasian Swamphen Porphyrio melanotus
0.60%
141
Latham's Snipe Gallinago hardwickii
0.60%
142
Grey-tailed Tattler Tringa brevipes
0.60%
143
Great Crested Grebe Podiceps cristatus
0.60%
144
Little Egret Egretta garzetta
0.60%
145
Striated Heron Butorides striata
0.60%
146
Brahminy Kite Haliastur indus
0.60%
147
Australian Hobby Falco longipennis
0.60%
148
Superb Lyrebird Menura novaehollandiae
0.60%
149
Buff-rumped Thornbill Acanthiza reguloides
0.60%
150
Australian Logrunner Orthonyx temminckii
0.60%
151
Australian Spectacled Monarch Symposiachrus trivirgatus
0.60%
152
King Quail Synoicus chinensis
0.01%
153
Buff-banded Rail Gallirallus philippensis
0.01%
154
Sooty Oystercatcher Haematopus fuliginosus
0.01%
155
Bar-tailed Godwit Limosa lapponica
0.01%
156
Australian White Ibis Threskiornis molucca
0.01%
157
White-necked Heron Ardea pacifica
0.01%
158
Eastern Barn Owl Tyto javanica
0.01%
159
Galah Eolophus roseicapilla
0.01%
160
Little Corella Cacatua sanguinea
0.01%
