Key,Timestamp,AEDT_Timestamp,Translation
x,45:19.5,45:19.5,Large-billed Scrubwren
1,45:20.9,45:20.9,Grey Fantail
F7,45:22.2,45:22.2,Brown Gerygone
F7,45:23.3,45:23.3,Brown Gerygone
F7,45:24.6,45:24.6,Brown Gerygone
F7,45:26.2,45:26.2,Brown Gerygone
F7,45:27.6,45:27.6,Brown Gerygone
1,45:29.0,45:29.0,Grey Fantail
F7,45:35.2,45:35.2,Brown Gerygone
F10,45:40.1,45:40.1,Eastern Spinebill
F7,45:40.9,45:40.9,Brown Gerygone
F7,45:42.4,45:42.4,Brown Gerygone
5,45:43.2,45:43.2,Lewin's Honeyeater
F7,45:44.5,45:44.5,Brown Gerygone
F7,45:48.5,45:48.5,Brown Gerygone
F7,45:51.5,45:51.5,Brown Gerygone
1,46:32.5,46:32.5,Grey Fantail
F7,47:16.4,47:16.4,Brown Gerygone
F7,47:17.7,47:17.7,Brown Gerygone
1,47:19.8,47:19.8,Grey Fantail
F7,47:20.4,47:20.4,Brown Gerygone
F7,47:24.8,47:24.8,Brown Gerygone
5,47:27.8,47:27.8,Lewin's Honeyeater
1,47:33.6,47:33.6,Grey Fantail
1,47:36.2,47:36.2,Grey Fantail
1,47:40.7,47:40.7,Grey Fantail
',47:49.5,47:49.5,Yellow Thornbill
1,47:54.5,47:54.5,Grey Fantail
F7,47:55.6,47:55.6,Brown Gerygone
F7,48:08.1,48:08.1,Brown Gerygone
1,48:30.5,48:30.5,Grey Fantail
1,48:55.1,48:55.1,Grey Fantail
F7,48:56.4,48:56.4,Brown Gerygone
F7,50:02.8,50:02.8,Brown Gerygone
q,50:08.6,50:08.6,Rainbow Lorikeet
q,50:13.4,50:13.4,Rainbow Lorikeet
q,50:15.5,50:15.5,Rainbow Lorikeet
l,50:47.1,50:47.1,Willie Wagtail
1,50:51.6,50:51.6,Grey Fantail
h,51:11.8,51:11.8,White-cheeked Honeyeater
F7,51:32.1,51:32.1,Brown Gerygone
1,51:32.5,51:32.5,Grey Fantail
1,51:46.2,51:46.2,Grey Fantail
F7,51:49.8,51:49.8,Brown Gerygone
F7,52:13.5,52:13.5,Brown Gerygone
1,52:42.6,52:42.6,Grey Fantail
F7,52:43.5,52:43.5,Brown Gerygone
F7,52:44.1,52:44.1,Brown Gerygone
',52:57.8,52:57.8,Yellow Thornbill
1,52:59.1,52:59.1,Grey Fantail
F7,53:04.3,53:04.3,Brown Gerygone
